word;in documents;total
ab;2.0;2.0
abend;1.0;1.0
aber;6.0;7.0
aberglaube;1.0;1.0
abschied;1.0;1.0
abschluss;1.0;1.0
ae;1.0;1.0
aeneator;1.0;2.0
aeq;1.0;2.0
aeql;1.0;2.0
ahy;1.0;1.0
aida;1.0;5.0
airport;1.0;1.0
aktuell;1.0;2.0
alex;1.0;1.0
alexceline;1.0;1.0
alheim;1.0;1.0
alice;1.0;1.0
alittlesuchti;1.0;1.0
alkohol;1.0;1.0
alle;2.0;2.0
alles;3.0;3.0
allgemei;1.0;1.0
allgemein;1.0;1.0
allgemeine;1.0;2.0
alptraum;1.0;1.0
als;4.0;4.0
also;2.0;2.0
alten;1.0;1.0
am;25.0;25.0
ampelsteuerung;1.0;1.0
an;8.0;9.0
anastasia;1.0;1.0
anastjaaa;1.0;1.0
andere;1.0;1.0
anders;1.0;1.0
andreasdotorg;1.0;2.0
andy;2.0;2.0
angeblich;2.0;2.0
angeschafft;1.0;1.0
angesehen;1.0;1.0
anja;2.0;4.0
anklage;1.0;1.0
ann;5.0;5.0
annabee;1.0;1.0
annemarieklug;2.0;2.0
annsonline;5.0;5.0
anshuaryan;1.0;2.0
ansprache;1.0;1.0
anziehen;1.0;1.0
anzugtraeger;1.0;1.0
anzugträger;1.0;1.0
arbeit;2.0;2.0
arbeiten;1.0;1.0
arbeitswelt;2.0;6.0
ardymon;1.0;2.0
arnolds;1.0;1.0
at;6.0;6.0
aubameyang;1.0;5.0
auch;10.0;11.0
auf;16.0;16.0
aufgehalten;1.0;1.0
aufgeregt;1.0;3.0
aufm;1.0;1.0
aufregen;1.0;1.0
aufsagen;1.0;1.0
aufstehen;1.0;1.0
aufzieht;1.0;1.0
august;2.0;2.0
auricularis;1.0;2.0
aus;6.0;6.0
auser;1.0;1.0
autobahnbrücke;3.0;3.0
außer;1.0;1.0
avbelow;1.0;2.0
aviary;1.0;3.0
aviationsteve;1.0;1.0
avocadoblume;1.0;1.0
awesome;1.0;1.0
azubi;1.0;1.0
bachmann;1.0;1.0
badberleburg;1.0;3.0
bahn;2.0;2.0
bahrs;1.0;1.0
bakfietsblog;1.0;1.0
bariz;1.0;1.0
bastelboyfrank;2.0;2.0
basteln;1.0;1.0
bastian;1.0;1.0
baunatal;1.0;5.0
bayern;1.0;1.0
bebel;2.0;2.0
beckmann;1.0;1.0
bedenken;1.0;1.0
bedeutet;1.0;1.0
bee;1.0;1.0
befreundeten;1.0;1.0
beginnt;1.0;1.0
behindert;1.0;1.0
bei;5.0;5.0
beileid;1.0;1.0
beim;2.0;2.0
beine;1.0;1.0
bekannten;1.0;1.0
belauerten;1.0;1.0
bemerkmichbitte;1.0;3.0
benjamin;1.0;1.0
benrund;1.0;1.0
bereit;1.0;1.0
bericht;1.0;1.0
berkersheim;1.0;1.0
berniniortensia;1.0;2.0
bertram;1.0;1.0
beruf;3.0;4.0
berufskollegs;1.0;1.0
beschreiben;1.0;1.0
besonders;1.0;1.0
beste;2.0;2.0
besuch;1.0;1.0
bete;1.0;1.0
bett;3.0;3.0
bevorstehende;1.0;1.0
bewegungsbad;1.0;1.0
bh;1.0;1.0
bibinator;1.0;3.0
bibioderjulian;1.0;3.0
bibisbeauty;1.0;2.0
bibisfangirls;1.0;2.0
bietet;1.0;1.0
bildun;1.0;1.0
bildung;4.0;13.0
binacolada;1.0;1.0
bis;1.0;1.0
bisoux;1.0;2.0
bit;1.0;2.0
bitte;1.0;1.0
blatt;1.0;1.0
blau;1.0;1.0
bleib;1.0;1.0
bleiben;2.0;2.0
blog;14.0;39.0
blogpetras;13.0;13.0
boah;1.0;1.0
board;1.0;1.0
bock;2.0;2.0
bockenheim;2.0;2.0
bote;1.0;1.0
bqynj;1.0;1.0
braunfels;1.0;1.0
bremen;5.0;5.0
bringen;2.0;2.0
brücke;10.0;12.0
buch;1.0;1.0
bundestag;1.0;1.0
burg;1.0;1.0
burger;1.0;1.0
bvb;2.0;5.0
bvw;1.0;1.0
byee;1.0;1.0
büyük;1.0;1.0
caefer;1.0;2.0
cain;1.0;1.0
campus;1.0;1.0
carl;1.0;1.0
carolina;1.0;1.0
ccacran;4.0;4.0
cdu;1.0;1.0
ce;1.0;2.0
celine;4.0;4.0
celinewaibel;1.0;1.0
chaitou;1.0;1.0
chance;1.0;1.0
chanti;1.0;1.0
chaos;1.0;1.0
check;10.0;10.0
checkincroatia;1.0;2.0
chef;1.0;1.0
chill;1.0;1.0
choenig;1.0;2.0
chris;4.0;4.0
christian;1.0;1.0
city;22.0;22.0
clemi;1.0;1.0
clemistecker;1.0;1.0
clhhb;1.0;2.0
clocky;1.0;1.0
co;20.0;20.0
colauschi;1.0;1.0
com;186.0;391.0
craziness;1.0;1.0
crlwvxuc;1.0;2.0
cuno;1.0;1.0
da;8.0;8.0
dafür;3.0;3.0
daheim;2.0;2.0
dahinten;1.0;1.0
dalkirir;1.0;1.0
danke;3.0;3.0
dann;9.0;9.0
darf;2.0;2.0
darkbeatlp;1.0;1.0
darmstadt;1.0;1.0
darum;1.0;1.0
darüber;1.0;1.0
das;16.0;17.0
dass;3.0;3.0
dauer;1.0;1.0
daumen;1.0;1.0
davon;1.0;1.0
dax;1.0;3.0
dazu;1.0;1.0
ddxlat;1.0;1.0
de;28.0;57.0
debatte;1.0;1.0
debora;8.0;8.0
decke;1.0;1.0
dein;1.0;1.0
deine;11.0;11.0
deiner;2.0;2.0
dem;5.0;5.0
den;13.0;15.0
denise;1.0;1.0
denisecraziness;1.0;1.0
dennis;5.0;5.0
dennisd;1.0;2.0
der;41.0;48.0
des;1.0;1.0
detlef;1.0;1.0
deutsch;1.0;1.0
deutsche;1.0;1.0
deutscher;1.0;1.0
de?iştiren;1.0;1.0
dhl;1.0;1.0
diabeteszentrum;1.0;1.0
dich;3.0;3.0
die;38.0;42.0
dienstag;1.0;1.0
dies;1.0;1.0
diese;1.0;1.0
diesem;1.0;1.0
diesen;1.0;1.0
dieser;1.0;1.0
diesereinesong;1.0;1.0
dieses;1.0;1.0
dietz;1.0;1.0
dir;4.0;4.0
dj;1.0;1.0
dnns;10.0;10.0
dnnskls;5.0;5.0
doch;2.0;2.0
doktor;1.0;1.0
dommach;1.0;1.0
donnerstag;1.0;1.0
doppelgänger;1.0;1.0
dort;2.0;4.0
dortmund;1.0;1.0
dounut;1.0;1.0
doyo;2.0;2.0
dr;1.0;1.0
drei;1.0;1.0
dress;1.0;1.0
dresscode;1.0;2.0
dreundzwanzig;1.0;3.0
dritter;1.0;1.0
drogenlosefrechheit;1.0;1.0
drrieser;8.0;8.0
du;2.0;5.0
dumme;1.0;1.0
durch;5.0;5.0
durchs;1.0;1.0
dzm;1.0;2.0
eben;1.0;1.0
ebene;1.0;1.0
ebsdorfergrund;1.0;4.0
echt;1.0;1.0
een;1.0;1.0
egal;1.0;1.0
eh;2.0;2.0
eher;1.0;1.0
ein;9.0;10.0
einbeck;1.0;3.0
einbeckaktuell;1.0;1.0
eindeutig;1.0;1.0
eindämmen;1.0;1.0
eine;4.0;4.0
einem;2.0;3.0
einen;4.0;4.0
einer;2.0;2.0
einfach;5.0;5.0
einkaufen;11.0;11.0
einmaleins;1.0;2.0
eisteemann;1.0;1.0
eiszumt;1.0;1.0
elektrotechnik;1.0;1.0
elf;1.0;1.0
eltern;2.0;5.0
emma;1.0;1.0
ende;1.0;1.0
endlich;1.0;1.0
energiewende;1.0;1.0
entlich;2.0;3.0
enttäuscht;1.0;1.0
entweder;1.0;1.0
eqzbhyrsvnz;1.0;2.0
erfurt;1.0;3.0
ergebnis;1.0;1.0
erich;1.0;1.0
ericwilde;1.0;1.0
erkläre;1.0;1.0
erkunden;1.0;1.0
erlenbach;1.0;1.0
erneuert;1.0;1.0
erneut;1.0;1.0
erol;1.0;1.0
erst;1.0;1.0
erste;1.0;1.0
erstmal;1.0;1.0
erwarten;1.0;1.0
erziehung;1.0;1.0
es;11.0;12.0
esmy;1.0;2.0
essen;1.0;1.0
etwas;1.0;1.0
euro;1.0;2.0
europa;1.0;1.0
ever;1.0;3.0
ew;1.0;2.0
ewilde;1.0;1.0
exjunkie;1.0;1.0
exmarbuergerin;1.0;2.0
extra;1.0;1.0
fabermallei;1.0;1.0
fabienne;1.0;1.0
facebook;10.0;20.0
fahr;1.0;1.0
familie;20.0;27.0
faz;4.0;9.0
fb;10.0;10.0
fbe;1.0;1.0
fcup;1.0;2.0
fcymbalak;1.0;1.0
february;1.0;1.0
feit;1.0;1.0
felix;1.0;1.0
fendel;1.0;1.0
fenster;1.0;1.0
ferien;3.0;4.0
ffleckenstein;1.0;1.0
ffm;1.0;1.0
figur;1.0;1.0
finden;1.0;1.0
fleckenstein;1.0;1.0
florian;2.0;2.0
florianbachmann;1.0;1.0
florianffb;1.0;1.0
focus;1.0;2.0
following;10.0;10.0
for;10.0;10.0
foto;1.0;1.0
fr;1.0;2.0
frank;1.0;1.0
frankenstein;1.0;1.0
frankfurt;25.0;111.0
frankhils;2.0;2.0
franziskus;1.0;1.0
frauen;1.0;1.0
freitag;1.0;2.0
freizeit;12.0;21.0
freu;1.0;1.0
freue;1.0;1.0
freunde;2.0;6.0
freunden;1.0;1.0
freundin;1.0;1.0
freut;10.0;10.0
friend;1.0;1.0
frost;1.0;2.0
früh;2.0;2.0
frühstück;2.0;6.0
fuck;1.0;1.0
fuer;2.0;2.0
funktioniert;1.0;1.0
fußballer;1.0;1.0
fvonmecklenburg;2.0;2.0
fxw;1.0;2.0
fza;1.0;2.0
fängt;1.0;1.0
führerscheinbild;1.0;1.0
für;10.0;12.0
ganz;2.0;2.0
ganze;1.0;1.0
ganzen;2.0;2.0
gcab;1.0;2.0
gdo;1.0;2.0
gedankenstuecke;1.0;1.0
gedicht;1.0;1.0
gegen;3.0;3.0
gegenlefties;1.0;3.0
geheimagent;1.0;1.0
gehen;13.0;13.0
geil;1.0;1.0
geiselwind;1.0;2.0
geisterfahrer;1.0;1.0
geld;1.0;1.0
genauso;1.0;1.0
genieße;1.0;1.0
genug;1.0;1.0
geocaching;1.0;1.0
geoutet;1.0;1.0
gepostet;1.0;1.0
gerade;3.0;3.0
germany;2.0;2.0
gerne;1.0;1.0
ges;1.0;1.0
gesamtschule;1.0;2.0
geschlagenenen;1.0;1.0
gesicht;1.0;1.0
gesperrt;3.0;3.0
gestalten;1.0;1.0
gesund;8.0;9.0
gesundheit;1.0;1.0
getan;1.0;1.0
gethcommander;1.0;1.0
gewalt;1.0;1.0
gewohnt;1.0;1.0
gewonnen;1.0;1.0
gibt;1.0;1.0
gießler;2.0;3.0
ginnheim;2.0;2.0
ginnheimer;1.0;1.0
glas;1.0;1.0
glaub;1.0;1.0
glaube;1.0;1.0
gleich;3.0;3.0
glorillah;1.0;2.0
glück;1.0;1.0
glückwunsch;2.0;2.0
gohrjiym;1.0;2.0
grauelichter;1.0;1.0
greshake;1.0;1.0
gross;1.0;1.0
grünen;1.0;1.0
gucken;1.0;1.0
guckt;1.0;1.0
gut;8.0;9.0
gute;4.0;4.0
gym;1.0;2.0
gymnasium;1.0;3.0
gzg;1.0;2.0
haare;1.0;2.0
hab;6.0;6.0
haben;10.0;11.0
haberturktv;1.0;2.0
hagen;1.0;1.0
haha;1.0;1.0
hahah;1.0;1.0
hahahahah;1.0;1.0
hallo;2.0;2.0
halt;1.0;1.0
hamburger;1.0;1.0
hammerschmidt;1.0;1.0
hanau;2.0;2.0
hanauer;2.0;2.0
handy;2.0;2.0
hannover;1.0;5.0
hashtag;58.0;102.0
hasse;1.0;1.0
hatte;2.0;2.0
haus;2.0;2.0
hausaufgaben;1.0;1.0
hause;2.0;3.0
heh;1.0;1.0
heiligenstockweg;1.0;1.0
heimkommen;1.0;1.0
heiratsantrag;1.0;1.0
heizung;1.0;1.0
hell;1.0;1.0
helleböhn;1.0;1.0
herr;1.0;1.0
herrflurmelchen;1.0;2.0
hesse;2.0;2.0
hessen;3.0;5.0
hessens;1.0;2.0
het;1.0;1.0
heute;6.0;6.0
hier;1.0;1.0
himmel;1.0;1.0
hin;1.0;1.0
hindemith;1.0;1.0
hinten;1.0;1.0
hmmmpf;1.0;1.0
hn;1.0;2.0
hoch;1.0;1.0
hof;1.0;2.0
hoffen;1.0;1.0
holen;1.0;1.0
holm;1.0;1.0
holzmann;1.0;1.0
hrcgig;1.0;3.0
hrctweet;1.0;1.0
href;119.0;233.0
hsv;1.0;3.0
htm;1.0;1.0
html;3.0;3.0
http;186.0;260.0
https;111.0;179.0
hulk;1.0;1.0
hvceqgjgjbr;1.0;2.0
hxcgtjokzpa;1.0;2.0
hz;1.0;1.0
hältst;1.0;1.0
hängt;1.0;1.0
hör;1.0;1.0
ice;1.0;1.0
ich;46.0;60.0
ichglaubeshackt;1.0;2.0
id;1.0;1.0
ihhhhhh;1.0;1.0
ihr;5.0;5.0
ikjlbnr;1.0;2.0
ilngw;1.0;2.0
im;12.0;12.0
imer;1.0;1.0
immer;3.0;3.0
immerhin;1.0;1.0
impereales;1.0;1.0
in;47.0;49.0
ing;1.0;1.0
ins;1.0;1.0
instagram;5.0;10.0
internet;1.0;1.0
intrigen;1.0;1.0
ir;1.0;2.0
irgendwann;1.0;1.0
irrt;1.0;1.0
is;2.0;2.0
issdbp;1.0;2.0
it;1.0;1.0
italien;2.0;2.0
itscsr;1.0;2.0
iwiwzjyr;1.0;1.0
iyd;2.0;4.0
iyvub;1.0;2.0
iz;1.0;1.0
izgfbi;1.0;2.0
izgiie;1.0;2.0
ja;6.0;6.0
jaaa;1.0;1.0
jaaaaa;1.0;1.0
jaar;1.0;1.0
jahr;2.0;2.0
jammer;1.0;1.0
jan;2.0;2.0
jana;1.0;1.0
janakrumbeck;1.0;1.0
jeden;1.0;1.0
jeder;1.0;1.0
jennifer;2.0;2.0
jennifergiesler;2.0;2.0
jetzt;12.0;14.0
jjh;1.0;1.0
joan;1.0;1.0
joanender;1.0;1.0
job;1.0;1.0
johannes;1.0;1.0
johannis;5.0;5.0
jojo;1.0;1.0
jonas;1.0;1.0
jorge;1.0;1.0
jossluijsmans;1.0;2.0
julchen;1.0;1.0
julia;1.0;1.0
jung;1.0;1.0
jungs;1.0;1.0
justusbumm;1.0;2.0
jz;1.0;1.0
jähriger;1.0;1.0
jürgen;1.0;1.0
kaderini;1.0;1.0
kaff;1.0;1.0
kaffeehaus;1.0;1.0
kaiseefried;1.0;2.0
kale;1.0;1.0
kann;8.0;8.0
karnevalsikone;1.0;1.0
karriere;3.0;10.0
katterbach;1.0;1.0
kaufen;1.0;1.0
kc;1.0;2.0
kein;5.0;5.0
keinbock;1.0;3.0
keine;3.0;3.0
kellner;1.0;1.0
kenne;1.0;1.0
ki;1.0;2.0
kind;3.0;4.0
kinder;2.0;2.0
kippen;1.0;1.0
kk;1.0;1.0
klara;1.0;1.0
klasse;1.0;1.0
klo;1.0;1.0
knuddelbär;1.0;1.0
knuddelfant;1.0;2.0
koenigstein;1.0;1.0
koffer;1.0;1.0
kollegen;1.0;1.0
kommandoklassenerhalt;1.0;3.0
komme;1.0;1.0
kommende;1.0;1.0
kommt;1.0;1.0
konzentrieren;1.0;1.0
konzerne;1.0;1.0
kooperationsvertrag;1.0;1.0
kopf;1.0;1.0
kopfschmerzen;1.0;1.0
kp;1.0;2.0
kraft;1.0;1.0
krank;2.0;3.0
krebs;1.0;1.0
kriegen;1.0;1.0
kruegerlars;1.0;1.0
krumbeck;1.0;1.0
kuhldustuhl;1.0;1.0
kultur;1.0;1.0
ky;1.0;2.0
kästner;1.0;1.0
königstein;1.0;1.0
können;2.0;2.0
könnt;1.0;1.0
la;1.0;1.0
